"municipio","low_cost","mean(precio_gasoleo_a, na.rm = TRUE)","mean(precio_gasolina_95_e5_premium, na.rm = TRUE)","max(precio_gasoleo_a, na.rm = TRUE)","max(precio_gasolina_95_e5_premium, na.rm = TRUE)","min(precio_gasoleo_a, na.rm = TRUE)","min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Almoharín",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Almoines",FALSE,1.309,NA,1.309,-Inf,1.309,Inf
"Almolda (La)",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Almonacid de Toledo",FALSE,1.287,NA,1.287,-Inf,1.287,Inf
"Almonacid de Zorita",FALSE,1.389,NA,1.389,-Inf,1.389,Inf
"Almonacid del Marquesado",FALSE,1.279,NA,1.279,-Inf,1.279,Inf
"Almonte",FALSE,1.36733333333333,NA,1.379,-Inf,1.354,Inf
"Almonte",TRUE,1.37766666666667,NA,1.399,-Inf,1.365,Inf
"Almoradí",FALSE,1.289,1.489,1.309,1.489,1.269,1.489
"Almoradí",TRUE,1.399,1.578,1.409,1.578,1.389,1.578
"Almorox",FALSE,1.289,NA,1.289,-Inf,1.289,Inf
"Almudévar",FALSE,1.23,NA,1.23,-Inf,1.23,Inf
"Almudévar",TRUE,1.369,1.549,1.369,1.549,1.369,1.549
"Almunia de Doña Godina (La)",FALSE,1.29033333333333,NA,1.319,-Inf,1.276,Inf
"Almunia de Doña Godina (La)",TRUE,1.354,NA,1.369,-Inf,1.339,Inf
"Almuñécar",FALSE,1.412,NA,1.412,-Inf,1.412,Inf
"Almuñécar",TRUE,1.387,NA,1.419,-Inf,1.355,Inf
"Almuradiel",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Almussafes",FALSE,1.259,NA,1.259,-Inf,1.259,Inf
"Alonsotegi",FALSE,1.449,NA,1.449,-Inf,1.449,Inf
"Álora",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Alosno",TRUE,1.414,NA,1.419,-Inf,1.409,Inf
"Alovera",FALSE,1.309,NA,1.309,-Inf,1.309,Inf
